20170220,20170220-S02E01,Se acabaron las mascaras,0:54,8.6,2,
20170220,20170220-S02E02,La cabeza del plan,0:42,8.5,2,
20170220,20170220-S02E03,Cuestion de eficacia,0:43,8.7,2,
20170220,20170220-S02E04,Que hemos hecho?,0:55,8.8,2,
20170220,20170220-S02E05,A contrarreloj,0:42,8.8,2,
20170220,20170220-S02E06,Bella ciao,0:43,9.4,2,
20170220,20170220-S03E01,Hemos vuelto,0:50,8.2,3,
20170220,20170220-S03E02,Aikido,0:41,8.4,3,
20170220,20170220-S03E03,48 metros bajo el suelo,0:49,8.4,3,
20170220,20170220-S03E04,La hora del delfin,0:43,8.1,3,
20170220,20170220-S03E05,Bum bum ciao,0:49,8.9,3,
20170220,20170220-S03E06,Todo parecio insignificante,0:46,8.3,3,
20170220,20170220-S03E07,Pequenas vacaciones,0:44,8.4,3,
20170220,20170220-S03E08,La deriva,0:57,9.5,3,
20170220,20170220-S04E01,Game over,0:52,7.4,4,
20170220,20170220-S04E02,La boda de Berlin,0:44,7.1,4,
20170220,20170220-S04E03,Leccion de anatomia,0:42,7.0,4,
20170220,20170220-S04E04,Suspiros de Espana,0:53,7.5,4,
20170220,20170220-S04E05,5 minutos antes,0:42,6.9,4,
20170220,20170220-S04E06,KO tecnico,0:45,7.3,4,
20170220,20170220-S04E07,Tumbar la carpa,0:52,8.2,4,
20170220,20170220-S04E08,Plan Paris,1:00,8.3,4,
